35936100,Nokia,1112,,
35973600,Nokia,1112,,
35274701,Nokia,1112,,
35327201,Nokia,1112,,
35364701,Nokia,1112,,
35364801,Nokia,1112,,
35394501,Nokia,1112,,
35397301,Nokia,1112,,
35397401,Nokia,1112,,
35453501,Nokia,1112,,
35453801,Nokia,1112,,
35457201,Nokia,1112,,
35457301,Nokia,1112,,
35480101,Nokia,1112,,
35551301,Nokia,1112,,
35551401,Nokia,1112,,
35551501,Nokia,1112,,
35626801,Nokia,1112,,
35640401,Nokia,1112,,
35640501,Nokia,1112,,
35641201,Nokia,1112,,
35642201,Nokia,1112,,
35695601,Nokia,1112,,
35696701,Nokia,1112,,
35698101,Nokia,1112,,
35698701,Nokia,1112,,
35699001,Nokia,1112,,
35767301,Nokia,1112,,
35806201,Nokia,1112,,
35806701,Nokia,1112,,
35806801,Nokia,1112,,
35806901,Nokia,1112,,
35954801,Nokia,1112,,
35957101,Nokia,1112,,
35291702,Nokia,1112,,
35881600,Nokia,1112,,
35935500,Nokia,1112,,
35638902,Nokia,1112,,
35629901,Nokia,1116,,
35765601,Nokia,1116,,
35765801,Nokia,1116,,
35807801,Nokia,1116,,
35807901,Nokia,1116,,
35866201,Nokia,1116,,
35866301,Nokia,1116,,
35952801,Nokia,1116,,
35952901,Nokia,1116,,
35953001,Nokia,1116,,
35953101,Nokia,1116,,
35327301,Nokia,1112,,
35455001,Nokia,1112,,
35276201,Nokia,6060,,
35325601,Nokia,6060,,
35363701,Nokia,6060,,
35363801,Nokia,6060,,
35392801,Nokia,6060,,
35394101,Nokia,6060,,
35396101,Nokia,6060,,
35454601,Nokia,6060,,
35550301,Nokia,6060,,
35627301,Nokia,1200,,
35644301,Nokia,1200,,
35698201,Nokia,1200,,
35769201,Nokia,1200,,
35805501,Nokia,1200,,
35805601,Nokia,1200,,
35805701,Nokia,1200,,
35805801,Nokia,1200,,
35895301,Nokia,1200,,
35895401,Nokia,1200,,
35895501,Nokia,1200,,
35895601,Nokia,1200,,
35895701,Nokia,1200,,
35896201,Nokia,1200,,
35896301,Nokia,1200,,
35953301,Nokia,1200,,
35953401,Nokia,1200,,
35955301,Nokia,1200,,
35955401,Nokia,1200,,
35981901,Nokia,1200,,
35982001,Nokia,1200,,
35984101,Nokia,1200,,
35984201,Nokia,1200,,
35984301,Nokia,1200,,
35984401,Nokia,1200,,
35207502,Nokia,1200,,
35290102,Nokia,1200,,
35290202,Nokia,1200,,
35290302,Nokia,1200,,
35290402,Nokia,1200,,
35293202,Nokia,1200,,
35293302,Nokia,1200,,
35293402,Nokia,1200,,
35293502,Nokia,1200,,
35293602,Nokia,1200,,
35310502,Nokia,1200,,
35310602,Nokia,1200,,
35310702,Nokia,1200,,
35310802,Nokia,1200,,
35310902,Nokia,1200,,
35352202,Nokia,1200,,
35352302,Nokia,1200,,
35352402,Nokia,1200,,
35352502,Nokia,1200,,
35352602,Nokia,1200,,
35353202,Nokia,1200,,
35353302,Nokia,1200,,
35353402,Nokia,1200,,
35353502,Nokia,1200,,
35353602,Nokia,1200,,
35416402,Nokia,1200,,
35416502,Nokia,1200,,
35416702,Nokia,1200,,
35416802,Nokia,1200,,
35487402,Nokia,1200,,
35487502,Nokia,1200,,
35573302,Nokia,1200,,
35573402,Nokia,1200,,
35573502,Nokia,1200,,
35573602,Nokia,1200,,
35573702,Nokia,1200,,
35637702,Nokia,1200,,
35640802,Nokia,1200,,
35641302,Nokia,1200,,
35642402,Nokia,1200,,
35678002,Nokia,1200,,
35678602,Nokia,1200,,
35679002,Nokia,1200,,
35679202,Nokia,1200,,
35679802,Nokia,1200,,
35680402,Nokia,1200,,
35680602,Nokia,1200,,
35681302,Nokia,1200,,
35681602,Nokia,1200,,
35682902,Nokia,1200,,
35684502,Nokia,1200,,
35685002,Nokia,1200,,
35685802,Nokia,1200,,
35687302,Nokia,1200,,
35931502,Nokia,1200,,
35686802,Nokia,1200,,
35686902,Nokia,1200,,
35931302,Nokia,1200,,
35934902,Nokia,1200,,
35934602,Nokia,1200,,
35934502,Nokia,1200,,
35193003,Nokia,1200,,
35193803,Nokia,1200,,
35194403,Nokia,1200,,
35195803,Nokia,1200,,
35196103,Nokia,1200,,
35197203,Nokia,1200,,
35320603,Nokia,1200,,
35320903,Nokia,1200,,
35318203,Nokia,1200,,
35318903,Nokia,1200,,
35418603,Nokia,1200,,
35421003,Nokia,1200,,
35522303,Nokia,1200,,
35932802,Nokia,1200,,
35695301,Nokia,1208,,
35766901,Nokia,1208,,
35768401,Nokia,1208,,
35808801,Nokia,1208,,
35808901,Nokia,1208,,
35809001,Nokia,1208,,
35809101,Nokia,1208,,
35809201,Nokia,1208,,
35809301,Nokia,1208,,
35809401,Nokia,1208,,
35809501,Nokia,1208,,
35809601,Nokia,1208,,
35809701,Nokia,1208,,
35809801,Nokia,1208,,
35809901,Nokia,1208,,
35810001,Nokia,1208,,
35862601,Nokia,1208,,
35862701,Nokia,1208,,
35862801,Nokia,1208,,
35984501,Nokia,1208,,
35984601,Nokia,1208,,
35984701,Nokia,1208,,
35290502,Nokia,1208,,
